Song,Year,ID,Artists,Duration,Popularity,Danceability,Speechiness,Valence
Low,2008,2GAhgAjOhEmItWLfgisyOn,SZA,181080,83,0.698,0.0559,0.335
Bleeding Love,2008,7wZUrN8oemZfsEd1CGkbXE,Leona Lewis,262466,77,0.638,0.0357,0.225
No One,2008,6NvRxjfYkkT2SpirAlmsjH,Queens of the Stone Age,278706,69,0.507,0.0641,0.637
Lollipop,2008,4P7VFiaZb3xrXoqGwZXC3J,Lil Wayne,299333,72,0.829,0.0831,0.45
Apologize,2008,1NrJYpdAi7uosDRPmSYrsG,OneRepublic,208106,71,0.593,0.0339,0.502
No Air,2008,1jUA4rb6ZCv4gby4YU53xq,Jordin Sparks,264373,72,0.466,0.199,0.328
Love Song,2008,6qL5UWxRSQYml9O99ozoLv,Kaash Paige,148640,79,0.641,0.0906,0.453
Love In This Club,2008,5j0McHPthKpOXRr3fBq8M0,USHER,259720,73,0.573,0.0732,0.346
With You,2008,34SQ0QfLSR316d8KL2zkuZ,Cody Johnson,220893,70,0.558,0.0273,0.388
Forever,2008,6IBcOGPsniK3Pso1wHIhew,Luke Combs,232533,79,0.487,0.0253,0.456
Sexy Can I,2008,1q51MejmtLKEv8mABG8XRE,Ray J,204040,64,0.575,0.319,0.926
Take a Bow,2008,3goSVuTt3fDYDP6kRnFwuL,Rihanna,229413,77,0.697,0.0715,0.572
Viva la Vida,2008,1mea3bSkSGXuIRvnydlB5b,Coldplay,242373,87,0.486,0.0287,0.417
I Kissed a Girl,2008,005lwxGU1tms6HGELIcUv9,Katy Perry,179640,70,0.699,0.0677,0.696
Whatever You Like,2008,1IAzD1muglOxOcPbUHs70R,T.I.,249533,75,0.68,0.0709,0.467
Disturbia,2008,2VOomzT6VavJOGBeySqaMc,Rihanna,238626,79,0.707,0.0571,0.722
Don't Stop the Music,2008,1Jo0Zg7XlrA6z0mFTZVdkn,Rihanna,267080,70,0.835,0.0643,0.542
Pocketful of Sunshine,2008,1uigwk5hNV84zRd5YQQRTk,Natasha Bedingfield,202906,72,0.721,0.0454,0.655
Kiss Kiss,2008,3wKKkGVn7cVSfgPeYYIiXG,Chris Brown,250666,72,0.729,0.225,0.551
Closer,2008,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,244960,85,0.748,0.0338,0.661
Bubbly,2008,0rFOs9paloAvEtzwDX1Kmc,Colbie Caillat,196280,69,0.697,0.0351,0.249
Touch My Body,2008,2aEuXA1KswHlCGPOuPmCOW,Mariah Carey,204733,76,0.714,0.0509,0.842
4 Minutes,2008,1oHClQEgDmmbcEx12Kc5nZ,Madonna,189693,75,0.753,0.0652,0.767
So What,2008,0JiY190vktuhSGN6aqJdrt,P!nk,215160,78,0.534,0.0425,0.462
Paralyzer,2008,28IEbk5a7twNTbUEvWslUb,Finger Eleven,208106,76,0.644,0.0456,0.861
Clumsy,2008,50xeLNGKmskmYUSINhqvfa,Fergie,240426,63,0.731,0.131,0.452
I'm Yours,2008,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,242946,81,0.703,0.0417,0.712
Leavin',2008,4cA2NmoE75r4yU7oeq4QGG,Zach Bryan,207103,69,0.561,0.0373,0.436
Dangerous,2008,1MX19fnaW1OUQoglWTYaOo,Morgan Wallen,147893,71,0.635,0.0279,0.948
Tattoo,2008,1XcxubL4Y4U4gxLeIbb8VM,Tyler Childers,203360,70,0.333,0.0307,0.279
See You Again,2008,7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator",180386,91,0.558,0.0959,0.62
Shake It,2008,5xTtaWoae3wi06K5WfVUUH,Taylor Swift,219200,77,0.647,0.165,0.943
Stop and Stare,2008,48s0QHJgmiNsth3WEO6U4M,OneRepublic,223853,61,0.492,0.0332,0.251
Take You There,2008,6AdLyvisRKHLAwARaZMGr6,Sean Kingston,236693,66,0.752,0.0696,0.634
Paper Planes,2008,1ixbwbeBi5ufN4noUKmW5a,M.I.A.,205200,78,0.447,0.222,0.485
Hot n Cold,2008,1y4eb6hmAvsqlDOl3fx9kk,Katy Perry,220226,72,0.706,0.0418,0.861
Live Your Life,2008,3jlbL2OTD5YmIunYzgQTAN,T.I.,338853,75,0.375,0.255,0.478
Bust It Baby (Part 2),2008,7sxdiB3BWHkDSEus9LaJNx,Let The Music Play,238860,0,0.716,0.0544,0.894
American Boy,2008,6etwirSInfuJrSOlogS6Sh,Estelle,284733,78,0.693,0.378,0.521
Got Money,2008,46lIt6GmL0VkkbuUyGDbCs,Lil Wayne,244626,59,0.694,0.118,0.702
Our Song,2008,15DeqWWQB4dcEWzJg15VrN,Taylor Swift,201106,76,0.668,0.0303,0.539
Damaged,2008,4yHFxB8kzzeuNvoouR8N0N,Danity Kane,244266,57,0.774,0.05,0.818
A Milli,2008,6ScJMrlpiLfZUGtWp4QIVt,Lil Wayne,221840,71,0.674,0.278,0.773
Sorry,2008,09CtPGIpYB4BrO8qb1RGsF,Justin Bieber,200786,82,0.654,0.045,0.41
Independent,2008,69XUpOpjzDKcfdxqZebGiI,Destiny's Child,221133,67,0.73,0.206,0.927
Can't Believe It,2008,4D2cYdHqk8tu65jUig4OcN,T-Pain,273826,62,0.649,0.0486,0.0766
Like You'll Never See Me Again,2008,3JHDtmFdX9kdx9wz0md98U,Alicia Keys,315360,56,0.562,0.0315,0.266
Teardrops on My Guitar,2008,7zMcNqs55Mxer82bvZFkpg,Taylor Swift,203040,68,0.621,0.0231,0.289
When I Grow Up,2008,5rLyYxZNzca00ENADO9m54,NF,196800,74,0.817,0.185,0.247
Sexual Eruption,2008,3nTHTulZtTJoM3cBJTuHrJ,Snoop Dogg,245440,37,0.773,0.0988,0.465
What You Got,2008,3MldzywZOH4Uci6bq9noyJ,Colby O'Donis,243013,61,0.775,0.038,0.305
It's Not My Time,2008,0uybt73QFXaLCoxuVf6fhm,3 Doors Down,241960,65,0.532,0.0619,0.309
Better in Time,2008,2iXBZ32Fz5VDCLeE0JIdX5,Leona Lewis,234173,67,0.584,0.0506,0.549
Crank That (Soulja Boy),2008,66TRwr5uJwPt15mfFkzhbi,Soulja Boy,221933,77,0.736,0.0786,0.803
Shadow of the Day,2008,0OYcEfskah1egYHjYRvbg1,Linkin Park,290360,67,0.534,0.0292,0.0641
Sweetest Girl (Dollar Bill),2008,4liGjmhCupa7RP9JaQELYx,Wyclef Jean,241133,58,0.733,0.0553,0.529
Miss Independent,2008,34ceTg8ChN5HjrqiIYCn9Q,Ne-Yo,232000,78,0.673,0.115,0.713
Fall for You,2008,2fywBLXK9GQi8YR8C8d3c4,Secondhand Serenade,183600,67,0.396,0.0362,0.358
In the Ayer,2008,6RpiAj9Ofv0Uqp6n2OuRoh,Flo Rida,220506,57,0.83,0.0579,0.646
Say,2008,6GGtHZgBycCgGBUhZo81xe,Lana Del Rey,209156,89,0.49,0.0254,0.166
One Step at a Time,2008,5o4W6yWSJD9e9Ea8YC9WjF,Jordin Sparks,205160,63,0.766,0.0289,0.691
Hate That I Love You,2008,669Zz4glMcFwFl1BRltkXP,Rihanna,219000,60,0.637,0.0874,0.732
Superstar,2008,20j7l6tFtc5lynXpbOQg1O,Dominic Fike,127054,72,0.756,0.0956,0.197
Suffocate,2008,6wUK8WB3cbNUAAGjNmKy3M,Kayzo,179200,61,0.638,0.3,0.664
Let It Rock,2008,6TrNRd98WksT9Kkmx9uj6R,Kevin Rudolf,231173,67,0.607,0.0397,0.434
Get Like Me,2008,2IBF9lQ9lgVai8LkskI5L7,David Banner,224546,59,0.609,0.488,0.653
Realize,2008,5OGkKx8jP0A5KSULEc6XYZ,Colbie Caillat,244106,55,0.693,0.0325,0.192
Put On,2008,3OePAyHePd68TTKmy2hjq0,Jeezy,321293,68,0.65,0.0345,0.268
The Time of My Life,2008,6avyV3xlz2UFeiAUZ0SqyT,David Cook,216146,52,0.414,0.0287,0.281
Lolli Lolli (Pop That Body),2008,4xWMTkwknjh8FzxNrkwLl6,Three 6 Mafia,251373,53,0.89,0.0489,0.872
Cyclone,2008,0x1LCpY9Rgeq97VPajm81B,Baby Bash,222053,63,0.644,0.0701,0.584
Love Like This,2008,3P9pRL7V9yM9DhY6NGZjzA,ZAYN,173303,78,0.699,0.0452,0.484
Burnin' Up,2008,2VEsmoek0sol9MnJFyoG9e,Jonas Brothers,175093,73,0.667,0.0817,0.807
Love Lockdown,2008,1kxeWHF9PrCVZHvVskv8lg,Kanye West,270306,66,0.76,0.0323,0.112
I Luv Your Girl,2008,3wkNK8tJZ2stygNJm8RCRD,The-Dream,267866,64,0.723,0.0341,0.0406
Crush,2008,3VA4sjTMSTTF02hFGmlpJh,Paramore,189373,66,0.631,0.0468,0.648
Hypnotized,2008,3LN41NUdHkyNqQhi9gExMm,Plies,188493,67,0.84,0.0797,0.617
Big Girls Don't Cry,2008,4AniPkv5vgdE1n6VKreiyI,Fergie,268120,67,0.707,0.0337,0.249
Good Life,2008,4ZPdLEztrlZqbJkgHNw54L,Kanye West,207000,77,0.439,0.346,0.487
Womanizer,2008,4fixebDZAVToLbUCuEloa2,Britney Spears,224400,77,0.724,0.0622,0.235
Love Story,2008,3CeCwYWvdfXbZLXFhBrbnf,Taylor Swift,235766,84,0.626,0.0311,0.416
Just Fine,2008,33vzOPcd9FRirYGlCu32x4,Mary J. Blige,242133,61,0.923,0.117,0.588
Piece of Me,2008,2EvwLVrnYbCZEG6Kx5DCRy,Britney Spears,212106,65,0.769,0.216,0.782
The Boss,2008,6LzjgzpVl0hB3YrBU1b8Z1,James Brown,194866,63,0.736,0.0475,0.62
