Song,Year,ID,Artists,Duration,Popularity,Danceability,Speechiness,Valence
Can’t Fight the Moonlight,2002,2AogRMqARWyUP7VQ3gmSoY,LeAnn Rimes,215506,69,0.628,0.0497,0.626
Escape,2002,5IMtdHjJ1OtkxbGe4zfUxQ,Rupert Holmes,276493,77,0.836,0.0548,0.949
More than a Woman,2002,49OMJ1prsRA7ZYgrAjz70c,Bee Gees,197213,75,0.632,0.0383,0.701
Hello Good,2002,0vZ97gHhemKm6c64hTfJNA,The Beatles,208840,60,0.479,0.0256,0.806
I Love You,2002,0NaUT74rJ0NHS62fewzatU,Odetari,126600,85,0.477,0.0334,0.0399
Gotta Get Thru This,2002,747tpec1a0Hfqvj2za1pBs,Daniel Bedingfield,161200,51,0.837,0.0631,0.912
Pass the Courvoisier Part II,2002,4SnTf4ixVZCfQtxHNhky0T,Busta Rhymes,238600,56,0.697,0.323,0.56
Lose Yourself,2002,5Z01UMMf7V1o0MzF86s6WJ,Eminem,326466,78,0.692,0.257,0.0612
Butterflies,2002,30VHURM5NOfoZmqp2iKawS,Kacey Musgraves,219053,68,0.689,0.0306,0.411
What About Us?,2002,0Qh38w01QRXK6KHIv0e3hb,P!nk,269600,77,0.491,0.0506,0.193
Underneath your Clothes,2002,15f8Cv8RXUlOOCIf2oaceN,Shakira,224066,67,0.616,0.0415,0.362
Rainy Dayz,2002,1F1XjwRzMh8KT2BvH6ISkG,Mary J. Blige,276360,52,0.476,0.191,0.525
Differences,2002,0Uyh92tLyb9JawG8lmWCzJ,Ginuwine,265533,69,0.562,0.0558,0.423
If I could Go!,2002,1PB6gllaq5kUUSpb5jzWjn,Angie Martinez,244466,45,0.592,0.354,0.699
The Whole World,2002,1mpSmPwWONa4LFdvpzcM7S,Tally Hall,104760,59,0.78,0.117,0.789
Underneath it All,2002,6fR6Z0Vc1K6yQWNUIKjAIR,No Doubt,302720,64,0.729,0.0682,0.838
Caramel,2002,67jvGGbJmOmVonlyX3mNkV,Ozuna,233160,76,0.755,0.154,0.586
Luv U Better,2002,7cGcyNd7NVvDIwCAQSbJLI,LL COOL J,286906,53,0.667,0.238,0.712
Gimme the Light,2002,5WavgurgGX48eZv1q1E3on,Sean Paul,228000,62,0.778,0.0525,0.923
Gone,2002,1hz7SRTGUNAtIQ46qiNv2p,"Tyler, The Creator",375386,77,0.518,0.193,0.471
Livin’ it Up,2002,7zjEyeBsaw9gV0jofJLfOM,Young Thug,210906,71,0.767,0.0798,0.765
Roll Out (My Business),2002,4SyadrABZJIjeND1HPJS31,Ludacris,296586,62,0.921,0.235,0.892
Here is Gone,2002,4KqTGPPmXowMPEoShSVOta,The Goo Goo Dolls,238173,59,0.338,0.0322,0.221
No More Drama,2002,7nWsh14AHpnTzq1Xejz90U,Mary J. Blige,326240,56,0.653,0.124,0.64
Days go By,2002,2jwaErbghhcia4JqUYWz3g,Keith Urban,224629,59,0.589,0.0365,0.76
Baby,2002,7yNf9YjeO5JXUE3JEBgnYc,Dominic Fike,97960,82,0.762,0.11,0.847
The Good Stuff,2002,1sR3kJi14jA8Gau3a0yXAo,Kenny Chesney,200440,59,0.612,0.0645,0.502
We Thuggin’,2002,2EcW94ak7kYH4mDMvI7iWg,Fat Joe,213533,38,0.896,0.208,0.822
Good Morning Beautiful,2002,0eHT8N5YQglv8cYYizXvSw,Steve Holy,210933,54,0.565,0.031,0.242
Rock the Boat,2002,0qvlhVNm7L5IWabWF5hlEL,Aaliyah,274733,70,0.637,0.0333,0.415
Drive (For Daddy Gene),2002,1FV374EPG5CrjdIbIMLkcv,Alan Jackson,242733,67,0.713,0.0413,0.511
Standing Still,2002,6a0e5Fb8cwz8pklTJOFGju,Jewel,270333,50,0.614,0.0337,0.341
Anything,2002,0qPHyYoGZeujrXNwNEvkQv,Hozier,225333,67,0.637,0.0872,0.595
Full Moon,2002,0uwNtbl80CvP4EFio32PYv,The Black Ghosts,231333,60,0.564,0.0262,0.555
Uh Huh,2002,6lF9MVbhNfe0EZcACAdaFM,Tinashe,182278,62,0.802,0.0365,0.498
A New Day has Come,2002,5fkDD7aQLUmMy1EwzNm0ZB,Céline Dion,259773,62,0.574,0.035,0.195
Turn Off the Light,2002,7dsImih2L25fa6qjNphBI7,Chris Lake,210546,68,0.824,0.0755,0.888
Living and Living Well,2002,3YxKqZFpcxBPvpUssL8FS2,George Strait,218306,39,0.602,0.0304,0.522
My List,2002,3vzmDjQ7E6gzAVg4ecp6XU,Toby Keith,199813,44,0.629,0.0323,0.341
Hands Clean,2002,2LVxvGhl2U5p2ql2ujc6vZ,Alanis Morissette,269400,59,0.513,0.0299,0.52
Sk8er Boi,2002,00Mb3DuaIH1kjrwOku9CGU,Avril Lavigne,204000,77,0.487,0.0482,0.484
Long Time Gone,2002,0JiX8NsRdCHm8GliFuf97V,The Chicks,249412,55,0.549,0.0311,0.819
Where Were You (When the World Stopped Turning),2002,4aOQG9TYcZOhT3sngkMI9K,Alan Jackson,305093,53,0.642,0.0322,0.186
Like I Love You,2002,6W2Ef5Ph6ILTUAedoQ3QIv,Justin Timberlake,283626,63,0.853,0.0646,0.9
I Do!!,2002,7FYH5AW3bVfZHJIQpq3UOA,Big Sean,284386,76,0.824,0.0613,0.395
In Da Club,2003,4RY96Asd9IefaL3X4LOLZ8,50 Cent,193466,76,0.902,0.347,0.805
Ignition,2003,5dNfHmqgr128gMY2tc5CeJ,R. Kelly,186066,69,0.795,0.0423,0.855
Get Busy,2003,6bK9BH9Ts8Gj5JFvnQkzak,Sean Paul,211666,78,0.741,0.0352,0.725
Crazy in Love,2003,5IVuqXILoxVWvWEPm82Jxr,Beyoncé,236133,80,0.646,0.226,0.681
When I’m Gone,2003,5902W4uHWzhtOff1UK7the,Alesso,161266,76,0.685,0.034,0.615
Unwell,2003,6Bm6qUCSatPAqkQllFL7oA,Matchbox Twenty,228706,68,0.256,0.0403,0.429
Right Thurr,2003,0l3GEbH3CviUytD6iX4wzg,Chingy,250746,69,0.866,0.253,0.891
Miss You,2003,73vIOb4Q7YN6HeJTbscRx5,Oliver Tree,206000,83,0.587,0.0529,0.199
Picture,2003,32mVHdy0bi1XKgr0ajsBlG,Taylor Swift,173066,71,0.658,0.0323,0.821
Bring me to Life,2003,0COqiPhxzoWICwFCS4eZcp,Evanescence,235893,84,0.331,0.0698,0.296
Get Low,2003,0r2Bul2NuCViraT2zX1l5j,Lil Jon & The East Side Boyz,334066,76,0.521,0.067,0.136
Baby Boy,2003,4WY3HyGXsWqjFRCVD6gnTe,Beyoncé,244826,69,0.655,0.22,0.791
Shake Ya Tailfeather,2003,4TJduXYW1Pg96EDNnfiwxJ,Murphy Lee,295173,65,0.715,0.262,0.897
21 Questions,2003,41bIQPBE1lFN0mmw6Lmssz,50 Cent,224426,75,0.576,0.317,0.908
All I Have,2003,4mnoPyJHlmMYPJsib5tfn0,NF,248213,61,0.664,0.054,0.325
Beautiful,2003,2rxQMGVafnNaRaXlRMWPde,Luke Combs,193200,82,0.551,0.0262,0.382
I Know What You Want,2003,0YImOCkIJ2PWhCXaURCZnY,Busta Rhymes,324306,72,0.648,0.306,0.518
I'm with You,2003,6Qwuw0eOeszVlewLpu24gR,Vance Joy,239786,67,0.657,0.0293,0.115
Drift Away,2003,0RFgvrhkf9FiDRLA0BhzpZ,Uncle Kracker,255560,69,0.583,0.0377,0.861
Magic Stick,2003,0aULRU35N9kTj6O1xMULRR,Lil' Kim,359973,59,0.849,0.271,0.504
P.I.M.P.,2003,2D1hlMwWWXpkc3CZJ5U351,50 Cent,249466,70,0.7,0.342,0.889
"Bump, Bump, Bump",2003,6FTJuZtQZvmPPRFmrcno9J,B2K,278573,54,0.834,0.225,0.877
Into You,2003,63y6xWR4gXz7bnUGOk8iI6,Ariana Grande,244453,72,0.623,0.107,0.37
Can't Let You Go,2003,6lrRIfQDcikJ5y5DtyZPuJ,Fabolous,223973,63,0.646,0.458,0.811
Mesmerize,2003,2iclfHORMqpR3TxuhwVRhD,Ja Rule,278720,65,0.764,0.206,0.391
