Song,Year,ID,Artists,Duration,Popularity,Danceability,Speechiness,Valence
Wake Me Up,2014,0nrRP2bk19rLc0orkWPQk2,Avicii,247426,87,0.532,0.0523,0.643
Demons,2014,3LlAyCYU26dvFZBDUIMb7a,Imagine Dragons,175200,75,0.505,0.0321,0.428
Story of My Life,2014,4nVBt6MZDDP6tRVdQTgxJg,One Direction,245493,83,0.6,0.0477,0.286
Chandelier,2014,2s1sdSqGcKxpPr5lCl7jAV,Sia,216120,72,0.399,0.0499,0.572
Black Widow,2014,7pNC5ZIKtwUK0ReSpM3P9f,Iggy Azalea,209423,66,0.743,0.124,0.519
Bang Bang,2014,0puf9yIluy9W0vpMEUoAnN,Jessie J,199386,79,0.706,0.091,0.751
Latch,2014,1DunhgeZSEgWiIYbHqXl0c,Disclosure,255866,71,0.729,0.0919,0.544
Maps,2014,4gbVRS8gloEluzf0GzDOFc,Maroon 5,189960,85,0.742,0.0303,0.879
Loyal,2014,6SwRhMLwNqEi6alNPVG00n,Kendrick Lamar,227360,78,0.658,0.0573,0.419
Best Day of My Life,2014,5Hroj5K7vLpIG4FNCRIjbP,American Authors,194240,80,0.673,0.0346,0.538
Habits (Stay High),2014,14OxJlLdcHNpgsm4DRwDOB,Tove Lo,209160,74,0.729,0.0313,0.347
Summer,2014,7eOuUmpnHBlg5zsm8Cs7c3,Zach Bryan,186186,81,0.469,0.0448,0.215
Boom Clap,2014,0Y1MWB026LYxGvhq4EcMiC,Charli XCX,169866,62,0.659,0.0786,0.576
Drunk in Love,2014,6jG2YzhxptolDzLHTGLt7S,Beyoncé,323480,74,0.583,0.0479,0.399
Anaconda,2014,794F99D5BQHS5ZGRXAs7I5,Nicki Minaj,260239,67,0.964,0.179,0.646
Break Free,2014,12KUFSHFgT0XCoiSlvdQi4,Ariana Grande,214840,77,0.687,0.0455,0.284
Bailando,2014,32lm3769IRfcnrQV11LO4E,Enrique Iglesias,243413,69,0.723,0.108,0.961
Burn,2014,5jfhLCSIFUO4ndzNRh4w4G,Zach Bryan,268856,81,0.508,0.0755,0.134
Wiggle,2014,2sLwPnIP3CUVmIuHranJZU,Jason Derulo,193295,57,0.697,0.25,0.721
Rather Be,2014,0am001WwFBVGDGLwRh3ixi,Clean Bandit,227833,64,0.799,0.0377,0.549
Don't Tell 'Em,2014,0Dc7J9VPV4eOInoxUiZrsL,Jeremih,266840,74,0.856,0.0997,0.386
Show Me,2014,01TyFEZu6mHbffsVfxgrFn,Men I Trust,215110,82,0.791,0.0415,0.544
Wrecking Ball,2014,2vwlzO0Qp8kfEtzTsCXfyE,Miley Cyrus,221360,81,0.53,0.0342,0.349
Not a Bad Thing,2014,3nB82yGjtbQFSU0JLAwLRH,Justin Timberlake,688453,56,0.308,0.0719,0.109
Roar,2014,27tNWlhdAryQY04Gb2ZhUI,Katy Perry,223546,79,0.671,0.0316,0.436
Ain't It Fun,2014,1j8z4TTjJ1YOdoFEDwJTQa,Paramore,296520,75,0.61,0.0921,0.673
The Man,2014,3RauEVgRgj1IuWdJ9fDs70,Taylor Swift,190360,85,0.777,0.054,0.633
This Is How We Roll,2014,2TR7A4ulH9R1PNwMyd8o8U,Florida Georgia Line,220906,72,0.555,0.0367,0.723
Classic,2014,6FE2iI43OZnszFLuLtvvmg,MKTO,175426,82,0.72,0.124,0.756
A Sky Full of Stars,2014,0FDzzruyVECATHXKHFs9eJ,Coldplay,267866,86,0.545,0.0279,0.162
Don't,2014,3pXF1nA74528Edde4of9CC,Bryson Tiller,198293,84,0.765,0.195,0.189
Na Na,2014,6G4ICKUrsPb117ULGyrQ5N,Lay Bankz,100122,70,0.743,0.147,0.891
Hot Boy,2014,31yydnZnSeCwkRPY7tlgQJ,Nardo Wick,169893,70,0.595,0.226,0.501
"Hold On, We're Going Home",2014,2aSC2xhRxOLiiZZVjhbylH,Drake,227880,74,0.777,0.0946,0.287
Sing,2014,6iF4RgIjDvDqyW13PezSj3,Selena Gomez,171655,89,0.61,0.0782,0.747
Radioactive,2014,4G8gkOterJn0Ywt6uhqbhp,Imagine Dragons,186813,74,0.448,0.0627,0.236
My Hitta,2014,5G47DlluL671zo0k3OhoSm,YG,236093,30,0.764,0.106,0.678
Cool Kids,2014,13P5rwmk2EsoFRIz9UCeh9,Echosmith,237626,74,0.719,0.0336,0.786
Hey Brother,2014,4lhqb6JvbHId48OUJGwymk,Avicii,255093,79,0.545,0.0436,0.458
Trumpets,2014,5KONnBIQ9LqCxyeSPin26k,Jason Derulo,217419,63,0.635,0.258,0.638
Animals,2014,3rjM7GhxdVq1YySsHBs21i,Nickelback,186600,70,0.572,0.0625,0.818
Burnin' It Down,2014,5HJqpDspKDKwQpLjvkcIsD,Jason Aldean,219160,67,0.681,0.049,0.64
Play It Again,2014,03fT3OHB9KyMtGMt2zwqCT,Luke Bryan,226866,76,0.506,0.0655,0.595
2 On,2014,3jVtllWS5CFFWLQng8sKsr,Tinashe,227000,74,0.742,0.107,0.431
Dirt,2014,7f08qp3HROTkfrtNpiYGGo,Jon Pardi,201893,76,0.683,0.0285,0.531
Love Runs Out,2014,5BJSZocnCeSNeYMj3iVqM7,OneRepublic,224226,63,0.719,0.0589,0.738
Bottoms Up,2014,4AYX69oFP3UOS1CFmV9UfO,Trey Songz,242013,73,0.844,0.157,0.331
Shower,2014,3DmW6y7wTEYHJZlLo1r6XJ,Becky G,206166,78,0.699,0.0487,0.121
Me and My Broken Heart,2014,1oew3nFNY3vMacJAsvry0S,Rixton,193733,78,0.545,0.0345,0.551
Animals,2014,3rjM7GhxdVq1YySsHBs21i,Nickelback,186600,70,0.572,0.0625,0.818
Lifestyle,2014,7DTlsMOQjGysXHpwwpHuPl,Rich Gang,269693,68,0.546,0.274,0.471
American Kids,2014,1dgWTMoHwTUnQhOQ8SR5fV,Kenny Chesney,182960,75,0.782,0.0803,0.849
Brave,2014,6Uy6K3KdmUdAfelUp0SeXn,Sara Bareilles,220573,70,0.551,0.0524,0.758
Sweater Weather,2014,2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,240400,91,0.612,0.0336,0.398
Leave the Night On,2014,3wx2kQWPn9p5UppQbNhPAk,Sam Hunt,192160,64,0.514,0.0603,0.838
New Flame,2014,3fBbfrWZUuWWrMQXFISr7N,Chris Brown,244226,73,0.702,0.041,0.446
Love Never Felt So Good,2014,48td6xvpokdYwvbl3JIiXP,Michael Jackson,246026,72,0.775,0.0435,0.712
Drunk on a Plane,2014,1soxUgYIZb1qx1c7o1Lc7z,Dierks Bentley,254466,71,0.423,0.032,0.66
Birthday,2014,4NpDZPwSXmL0cCTaJuVrCw,Jeremih,226506,70,0.679,0.0427,0.445
Bartender,2014,1RGIjMFMgJxkZHMDXVYzOJ,T-Pain,238800,74,0.832,0.0628,0.436
La La La,2014,36pLU2ywVeBKEF0rrKtmCB,Naughty Boy,222200,63,0.772,0.0306,0.262
Blurred Lines,2014,0n4bITAu0Y0nigrz3MFJMb,Robin Thicke,263826,76,0.853,0.0411,0.843
Do What U Want,2014,0nDAcGyBPxf5D8LoASuxFn,Lady Gaga,216573,0,0.777,0.0863,0.542
Can't Remember to Forget You,2014,7o1Pm9jpH0wFpN5g793Lnq,Shakira,206866,75,0.694,0.0661,0.824
Amnesia,2014,2CRXFBkRh0V7FZL5kuiqdO,La Santa Grifa,188604,75,0.818,0.225,0.783
No Mediocre,2014,0SqUFLaRXwufRUsJ0t4dXB,T.I.,202213,56,0.781,0.0432,0.195
Come with Me Now,2014,6FCmFo5oqhPerHy187op7H,Caamp,159333,65,0.516,0.0293,0.448
Believe Me,2014,6t2eIONH4Sax3R21QWiKNp,Lil Wayne,337640,61,0.844,0.17,0.196
23,2014,2ixkIrn45mNfdLDLHuyfRt,Chayce Beckham,228144,77,0.626,0.0318,0.428
Beachin',2014,5dNGORzxFb5z3v7vSAFkTU,Jake Owen,191040,61,0.527,0.0601,0.709
White Walls,2014,1o1Pny4JcE3LdUBeBedbm6,Macklemore & Ryan Lewis,220319,66,0.768,0.141,0.842
She Looks So Perfect,2014,1gugDOSMREb34Xo0c1PlxM,5 Seconds of Summer,202496,72,0.494,0.132,0.441
Stay the Night,2014,2QtJA4gbwe1AcanB2p21aP,Zedd,217346,65,0.596,0.0411,0.461
Partition,2014,5hgnY0mVcVetszbb85qeDg,Beyoncé,319466,72,0.418,0.283,0.172
Studio,2014,29gsi1zZrZxdStACmTQB0Z,ScHoolboy Q,278066,69,0.709,0.0433,0.58
0 to 100 / The Catch Up,2014,4jtyUzZm9WLc2AdaJ1dso7,Drake,275226,72,0.559,0.39,0.504
I Don't Dance,2014,5aj0xPGiEUN3aI2oOYu14S,Lee Brice,221173,67,0.587,0.0321,0.19
Somethin' Bad,2014,6s9m5J92By7jii22Q2XtY2,Miranda Lambert,169586,66,0.68,0.055,0.484
Adore You,2014,3jjujdWJ72nww5eGnfs2E7,Harry Styles,207133,84,0.676,0.0483,0.569
Uptown Funk!,2015,32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson,269666,84,0.856,0.0824,0.928
Thinking Out Loud,2015,34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,281560,84,0.781,0.0295,0.591
See You Again,2015,7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator",180386,91,0.558,0.0959,0.62
Trap Queen,2015,2d8JP84HNLKhmd6IYOoupQ,Fetty Wap,222093,75,0.746,0.128,0.817
Sugar,2015,2TfSHkHiFO4gRztVIkggkE,Fall Out Boy,229093,79,0.494,0.0843,0.574
Shut Up And Dance,2015,4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,199080,84,0.578,0.0619,0.619
Blank Space,2015,1p80LdxRV74UKvL8gnD7ky,Taylor Swift,231826,81,0.753,0.0644,0.583
Watch Me,2015,5RIVoVdkDLEygELLCniZFr,Silentó,185142,66,0.821,0.121,0.962
Earned It,2015,52AJSmdmQ27iyK9K1gc3WT,The Weeknd,277724,0,0.658,0.0353,0.39
The Hills,2015,7fBv7CLKzipRk6EC6TWHOB,The Weeknd,242253,87,0.585,0.0515,0.137
Cheerleader (Felix Jaehn Remix),2015,023OVLNzXhX0j7CxswUt6D,OMI,180560,69,0.78,0.0305,0.594
Can't Feel My Face,2015,22VdIZQfgXJea34mQxlt81,The Weeknd,213520,84,0.705,0.0425,0.583
Love Me Like You Do,2015,0Cy7wt6IlRfBPHXXjmZbcP,Ellie Goulding,253520,74,0.489,0.0292,0.324
Take Me to Church,2015,1CS7Sd1u5tWkstBhpssyjP,Hozier,241693,79,0.566,0.0464,0.437
Bad Blood,2015,273dCMFseLcVsoSWx59IoE,Taylor Swift,211933,74,0.65,0.181,0.295
Lean On,2015,1Lim1Py7xBgbAkAys3AGAG,Major Lazer,176561,76,0.723,0.0625,0.274
Want to Want Me,2015,7oGZAicScQt96OAW4AruYy,Jason Derulo,207719,76,0.775,0.0629,0.656
Shake It Off,2015,5xTtaWoae3wi06K5WfVUUH,Taylor Swift,219200,77,0.647,0.165,0.943
Where Are Ü Now,2015,66hayvUbTotekKU3H4ta1f,Jack Ü,250285,74,0.432,0.0567,0.197
Fight Song,2015,37f4ITSlgPX81ad2EvmVQr,Rachel Platten,204013,77,0.564,0.129,0.33
679,2015,5NQbUaeTEOGdD6hHcre0dZ,Fetty Wap,196693,75,0.618,0.318,0.603
Lips Are Movin,2015,6gj08XDlv9Duc2fPOxUmVD,Meghan Trainor,182666,71,0.775,0.0464,0.95
Worth It,2015,0PQoUlzP7ILdcrzpajHXc0,YK Osiris,189253,67,0.749,0.0638,0.459
Post to Be,2015,0fgZUSa7D7aVvv3GfO0A1n,Omarion,226580,70,0.733,0.0432,0.701
"Honey, I'm Good.",2015,4MflGTO2ZTcSQ12bWcyRgI,Andy Grammer,199263,73,0.752,0.0546,0.595
I'm Not the Only One,2015,7795WJLVKJoAyVoOtCWqXN,Sam Smith,239316,85,0.677,0.0361,0.493
Good for You,2015,578Eooad7oUyn4stovZiPg,Selena Gomez,221280,65,0.607,0.0611,0.215
All About That Bass,2015,5jE48hhRu8E6zBDPRSkEq7,Meghan Trainor,187920,74,0.807,0.0503,0.961
Style,2015,4lIxdJw6W3Fg4vUIYCB0S5,Taylor Swift,231000,81,0.598,0.0383,0.456
Hotline Bling,2015,0wwPcA6wtMf6HUMpIRdeP7,Drake,267066,80,0.891,0.0551,0.552
Hey Mama,2015,5b2bu6yyATC1zMXDGScJ2d,David Guetta,192560,62,0.596,0.151,0.525
G.D.F.R.,2015,5BDTkNm8D43uQPIBaHxZ1O,Going Down For Real,52114,33,0.595,0.0617,0.975
What Do You Mean?,2015,2t98Dq00KqjYdEUOsLAChf,Justin Bieber,208542,31,0.832,0.0736,0.836
Photograph,2015,1HNkqx9Ahdgi1Ixy2xkKkL,Ed Sheeran,258986,85,0.614,0.0476,0.201
Hello,2015,343JDk5ibyUNuruzl6l7W6,KAROL G,194933,0,0.802,0.0592,0.861
Stitches,2015,5jsw9uXEGuKyJzs0boZ1bT,Shawn Mendes,206880,77,0.752,0.0615,0.755
Talking Body,2015,2tpfxAXiI52znho4WE3XFA,Tove Lo,238426,68,0.736,0.0338,0.114
Jealous,2015,1aXV8GrmQLvgoFtBPERP7E,Eyedress,122338,85,0.474,0.0457,0.696
Time of Our Lives,2015,2bJvI42r8EF3wxjOuDav4r,Pitbull,229360,82,0.721,0.0583,0.724
Locked Away,2015,7x5xYW5W42OGPAdHUyyguy,R. City,227480,79,0.509,0.0678,0.55
Somebody,2015,4wCmqSrbyCgxEXROQE6vtV,Gotye,244973,77,0.864,0.037,0.72
FourFiveSeconds,2015,78TTtXnFQPzwqlbtbwqN0y,Rihanna,188238,79,0.582,0.0501,0.354
Centuries,2015,04aAxqtGp5pv12UXAg4pkq,Fall Out Boy,228360,81,0.393,0.0729,0.56
My Way,2015,2gSVKxPDww9Eep5rdvtdem,Limp Bizkit,272973,75,0.576,0.0462,0.609
Take Your Time,2015,6DEaND0SHv3sC11xobZLiy,Sam Hunt,243706,66,0.558,0.0419,0.483
Animals,2015,3rjM7GhxdVq1YySsHBs21i,Nickelback,186600,70,0.572,0.0625,0.818
I Don't Fuck with You,2015,7FYH5AW3bVfZHJIQpq3UOA,Big Sean,284386,76,0.824,0.0613,0.395
Bitch Better Have My Money,2015,0NTMtAO2BV4tnGvw9EgBVq,Rihanna,219305,78,0.781,0.0621,0.395
"Flex (Ooh, Ooh, Ooh)",2015,4T0ScSPdQKmGvruK7pavNP,Rich Homie Quan,176744,65,0.726,0.0498,0.891
Nasty Freestyle,2015,0PT7nlpo11hYYyfnBgtilT,T-Wayne,142212,60,0.779,0.218,0.412
Only,2015,4MRT0dDbhqFKl67WzhUbSw,Nicki Minaj,312026,71,0.573,0.592,0.255
Elastic Heart,2015,5S9lfZu1YF8xKkgSsqL2Bd,Sia,257200,68,0.421,0.0496,0.499
Cool for the Summer,2015,3uwnnTQcHM1rDqSfA4gQNz,Demi Lovato,214739,80,0.583,0.0382,0.336
Renegades,2015,0fYVliAYKHuPmECRs1pbRf,X Ambassadors,195200,78,0.526,0.0905,0.528
I Don't Mind,2015,0NkiEX9bdIm7a06pJBbOYs,Sturgill Simpson,269663,61,0.603,0.03,0.415
Love Me Harder,2015,5J4ZkQpzMUFojo1CtAZYpn,Ariana Grande,236133,80,0.472,0.0334,0.24
Wildest Dreams,2015,59HjlYCeBsxdI0fcm3zglw,Taylor Swift,220440,75,0.554,0.0747,0.472
Stay with Me,2015,5Nm9ERjJZ5oyfXZTECKmRt,Sam Smith,172723,84,0.418,0.0414,0.184
You Know You Like It,2015,57kR5SniQIbsbVoIjjOUDa,DJ Snake,247266,72,0.407,0.188,0.247
Uma Thurman,2015,5PUawWFG1oIS2NwEcyHaCr,Fall Out Boy,211573,69,0.623,0.0895,0.676
45118,2015,55e5v8YgP56j9Q2iyZ5yHC,Gobs,170457,49,0.559,0.332,0.377
The Heart Wants What It Wants,2015,6wJwkMo278iWVlWl1XQ4WA,Selena Gomez,227373,74,0.616,0.0377,0.621
Girl Crush,2015,11qh54D0PKkBwelpDxxiEU,Little Big Town,193320,69,0.5,0.0302,0.355
Slow Motion,2015,6ihObRBTB8xdSH2mlERtOX,JUVENILE,248200,66,0.713,0.325,0.89
Drag Me Down,2015,2K87XMYnUMqLcX3zvtAF4G,One Direction,192120,80,0.73,0.0369,0.595
Truffle Butter,2015,7e44z4wOjkllaD8eulUeMd,Nicki Minaj,220466,66,0.89,0.0521,0.522
One Last Time,2015,7xoUc6faLbCqZO6fQEYprd,Ariana Grande,197266,84,0.628,0.0323,0.104
Chains,2015,3hq6IKV83bw3XXZ2jvYEew,Aaron May,150278,63,0.964,0.328,0.68
All Eyes on You,2015,0hy1SOTEn9ifXTzOwnCwEr,Meek Mill,223973,70,0.589,0.203,0.251
No Type,2015,4scpF6J5uMBvoh6sFB7EL1,Rae Sremmurd,200080,72,0.891,0.159,0.239
Riptide,2015,3JvrhDOgAt6p7K8mDyZwRd,Vance Joy,204280,81,0.484,0.0379,0.51
Classic Man,2015,3G7XYAwtxtoGK7fAm4IlD9,Jidenna,226000,59,0.79,0.0348,0.585
Ex's & Oh's,2015,70eDxAyAraNTiD6lx2ZEnH,Elle King,202173,73,0.612,0.085,0.446
Dear Future Husband,2015,3cU2wBxuV6nFiuf6PJZNlC,Meghan Trainor,184226,75,0.655,0.185,0.832
Marvin Gaye,2015,7tqhbajSfrz2F7E1Z75ASX,Marvin Gaye,151666,86,0.663,0.032,0.8
Like I'm Gonna Lose You,2015,2YlZnw2ikdb837oKMKjBkW,Meghan Trainor,225053,78,0.63,0.0434,0.417
Habits (Stay High),2015,14OxJlLdcHNpgsm4DRwDOB,Tove Lo,209160,74,0.729,0.0313,0.347
The Hanging Tree,2015,416MsJxvxSKY96DCmbJIRs,James Newton Howard,218506,65,0.213,0.0408,0.145
CoCo,2015,0PB0O24JqAuNdOAFVJljMS,Eladio Carrion,208125,87,0.683,0.0441,0.137
Bang Bang,2015,0puf9yIluy9W0vpMEUoAnN,Jessie J,199386,79,0.706,0.091,0.751
Lay Me Down,2015,64GRDrL1efgXclrhVCeuA0,Sam Smith,219535,71,0.468,0.0373,0.326
Tuesday,2015,64sn7wgJfeQKY3Jisnl59w,Lynyrd Skynyrd,450226,65,0.232,0.0295,0.41
Hit the Quan,2015,4OjuzM3rTWp3q60mEldNSF,iLoveMemphis,181080,57,0.741,0.362,0.625
Downtown,2015,3Ga6eKrUFf12ouh9Yw3v2D,Anitta,193456,74,0.775,0.135,0.619
House Party,2015,1TwLKNsCnhi1HxbIi4bAW0,Sam Hunt,190240,72,0.747,0.0514,0.859
Ayo,2015,0k6DnZMLoEUH8NGD5zh2SE,Chris Brown,225226,73,0.823,0.0443,0.682
Kick the Dust Up,2015,5g15o2Sm55Hn9ShK5yEXgp,Luke Bryan,190586,67,0.597,0.0461,0.818
Blessings,2015,1bzM1cd6oqFozdr4wK6HdR,Big Sean,252040,63,0.79,0.275,0.15
Budapest,2015,2ixsaeFioXJmMgkkbd4uj1,George Ezra,200733,81,0.717,0.0276,0.389
Chandelier,2015,2s1sdSqGcKxpPr5lCl7jAV,Sia,216120,72,0.399,0.0499,0.572
Heartbeat Song,2015,7FC9Lng8iXU081lbigu8m8,Kelly Clarkson,198733,64,0.49,0.0489,0.479
Don't,2015,3pXF1nA74528Edde4of9CC,Bryson Tiller,198293,84,0.765,0.195,0.189
Ghost,2015,6I3mqTwhRpn34SLVafSH7G,Justin Bieber,153190,86,0.601,0.0478,0.441
Here,2015,5LrN7yUQAzvthd4QujgPFr,d4vd,242484,89,0.571,0.0258,0.299
Waves (Robin Schulz Remix),2015,2HDhsfCmbVjLHYXK32jaCC,Mr. Probz,190846,53,0.776,0.0313,0.415
El Perdón,2015,7qCAVkHWZkF44OzOUKf8Cr,Nicky Jam,205906,75,0.628,0.0511,0.66
She Knows,2015,7seTcUFOhn5caSDbiSfsp0,Ne-Yo,214725,71,0.706,0.0326,0.574
Night Changes,2015,5O2P9iiztwhomNh8xkR9lJ,One Direction,226600,88,0.672,0.0353,0.37
Back to Back,2015,5lFDtgWsjRJu8fPOAyJIAK,Drake,170637,70,0.893,0.356,0.382
How Deep Is Your Love,2015,22mek4IiqubGD9ctzxc69s,Calvin Harris,212640,79,0.738,0.0731,0.336
Love Yourself,2016,50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,233720,85,0.609,0.438,0.515
Sorry,2016,09CtPGIpYB4BrO8qb1RGsF,Justin Bieber,200786,82,0.654,0.045,0.41
One Dance,2016,1zi7xx7UVEFkmKfv06H8x0,Drake,173986,88,0.792,0.0536,0.37
Work,2016,2wAJTrFhCnQyNSD3oUgTZO,J. Cole,235320,83,0.831,0.106,0.216
Stressed Out,2016,3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,202333,86,0.734,0.141,0.648
Panda,2016,275a9yzwGB6ncAW4SxY7q3,Desiigner,247866,68,0.685,0.414,0.266
Hello,2016,343JDk5ibyUNuruzl6l7W6,KAROL G,194933,0,0.802,0.0592,0.861
Don't Let Me Down,2016,1i1fxkWeaMmKEB4T7zqbzK,The Chainsmokers,208373,81,0.532,0.172,0.422
Can't Stop The Feeling!,2016,1WkMMavIMc4JZ8cfMmxHkI,Justin Timberlake,237546,74,0.669,0.0682,0.7
Closer,2016,7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,244960,85,0.748,0.0338,0.661
Cheap Thrills,2016,3S4px9f4lceWdKf0gWciFu,Sia,211666,71,0.628,0.105,0.732
7 Years,2016,5kqIPrATaCc2LqxVWzQGbk,Lukas Graham,237300,83,0.765,0.0514,0.34
Needed Me,2016,4pAl7FkDMNBsjykPXo91B3,Rihanna,191600,83,0.671,0.244,0.296
My House,2016,6Knv6wdA0luoMUuuoYi2i1,Flo Rida,192190,77,0.688,0.0499,0.74
I Took a Pill in Ibiza,2016,1MtUq6Wp1eQ8PC6BbPCj8P,Mike Posner,197933,71,0.664,0.111,0.71
Work from Home,2016,4tCtwWceOPWzenK2HAIJSb,Fifth Harmony,214480,78,0.803,0.0432,0.593
This Is What You Came For,2016,0azC730Exh71aQlOt9Zj3y,Calvin Harris,222160,84,0.631,0.0332,0.465
Cake by the Ocean,2016,76hfruVvmfQbw0eYn1nmeC,DNCE,219146,82,0.774,0.0517,0.896
"Me, Myself & I",2016,40YcuQysJ0KlGQTeGUosTC,G-Eazy,251466,77,0.756,0.0959,0.389
Ride,2016,2Z8WuEywRWYTKe1NybPQEW,Twenty One Pilots,214506,84,0.645,0.0393,0.566
Heathens,2016,6i0V12jOa3mr6uu4WYhUBr,Twenty One Pilots,195920,82,0.732,0.0286,0.548
Pillowtalk,2016,0PDUDa38GO8lMxLCRc4lL1,ZAYN,202746,79,0.584,0.0456,0.438
Stitches,2016,5jsw9uXEGuKyJzs0boZ1bT,Shawn Mendes,206880,77,0.752,0.0615,0.755
Hotline Bling,2016,0wwPcA6wtMf6HUMpIRdeP7,Drake,267066,80,0.891,0.0551,0.552
Cold Water,2016,7zsXy7vlHdItvUSH8EwQss,Major Lazer,185360,69,0.608,0.0432,0.501
Send My Love (To Your New Lover),2016,0t7fVeEJxO2Xi4H2K5Svc9,Adele,223078,75,0.688,0.0865,0.567
Roses,2016,3vv9phIu6Y1vX3jcqaGz5Z,The Chainsmokers,226738,76,0.713,0.0561,0.343
Treat You Better,2016,3QGsuHI8jO1Rx4JWLUh9jd,Shawn Mendes,187973,86,0.444,0.341,0.747
Too Good,2016,3BtuIIrQlkujKPuWF2B85z,Drake,263373,76,0.794,0.104,0.397
Low Life,2016,7EiZI6JVHllARrX9PUvAdX,Future,313546,78,0.722,0.0726,0.102
What Do You Mean?,2016,2t98Dq00KqjYdEUOsLAChf,Justin Bieber,208542,31,0.832,0.0736,0.836
The Hills,2016,7fBv7CLKzipRk6EC6TWHOB,The Weeknd,242253,87,0.585,0.0515,0.137
Just Like Fire,2016,7K5dzhGda2vRTaAWYI3hrb,P!nk,215413,70,0.632,0.148,0.523
Broccoli,2016,0qy5D3OJre7SPJNMOL9I71,DRAM,225205,66,0.886,0.132,0.708
Don't,2016,3pXF1nA74528Edde4of9CC,Bryson Tiller,198293,84,0.765,0.195,0.189
Dangerous Woman,2016,6RUhbFEhrvGISaQ8u2j2JN,Ariana Grande,235946,71,0.664,0.0412,0.289
Jumpman,2016,27GmP9AWRs744SzKcpJsTZ,Drake,205879,72,0.852,0.187,0.656
"I Hate U, I Love U",2016,7vRriwrloYVaoAe3a9wJHe,gnash,251033,78,0.492,0.3,0.18
Here,2016,5LrN7yUQAzvthd4QujgPFr,d4vd,242484,89,0.571,0.0258,0.299
Same Old Love,2016,1BZG99C7Co1r6QUC3zaS59,Selena Gomez,229080,68,0.672,0.0304,0.438
Controlla,2016,3O8NlPh2LByMU9lSRSHedm,Drake,245226,74,0.59,0.185,0.349
Like I'm Gonna Lose You,2016,2YlZnw2ikdb837oKMKjBkW,Meghan Trainor,225053,78,0.63,0.0434,0.417
One Call Away,2016,7soJgKhQTO8hLP2JPRkL5O,Charlie Puth,194453,66,0.667,0.0344,0.47
Let It Go,2016,13HVjjWUZFaWilh2QUJKsP,James Bay,260532,70,0.546,0.0288,0.246
No,2016,68Dni7IE4VyPkTOH9mRWHr,J. Cole,292799,89,0.69,0.339,0.494
Never Forget You,2016,6hmhG1b4LEyNuashVvuIAo,Zara Larsson,213427,74,0.583,0.0457,0.276
