Song,Year,ID,Artists,Duration,Popularity,Danceability,Speechiness,Valence
Happy,2014,3ZEno9fORwMA1HPecdLi0R,NF,242691,78,0.732,0.0415,0.221
Dark Horse,2014,4jbmgIyjGoXjY01XxatOx6,Katy Perry,215672,80,0.647,0.0512,0.353
All Of Me,2014,3U4isOIWM3VvDubwSI3y7a,John Legend,269560,85,0.422,0.0322,0.331
Fancy,2014,3fpTMuD1u3gJlVI4FadVHs,Drake,319386,72,0.53,0.457,0.28
Counting Stars,2014,2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,257265,87,0.664,0.0382,0.477
Talk Dirty,2014,6g6A7qNhTfUgOSH7ROOxTD,Jason Derulo,177685,67,0.76,0.232,0.759
Rude,2014,6RtPijgfPKROxEzTHNRiDp,MAGIC!,224840,82,0.773,0.0381,0.925
All About That Bass,2014,5jE48hhRu8E6zBDPRSkEq7,Meghan Trainor,187920,74,0.807,0.0503,0.961
Problem,2014,7vS3Y0IKjde7Xg85LWIEdP,Ariana Grande,193920,76,0.66,0.153,0.625
Stay WIth Me,2014,5Nm9ERjJZ5oyfXZTECKmRt,Sam Smith,172723,84,0.418,0.0414,0.184
Timber,2014,3cHyrEgdyYRjgJKSOiOtcS,Pitbull,204160,82,0.581,0.0981,0.788
Pompeii,2014,3gbBpTdY8lnQwqxNCcf795,Bastille,214147,73,0.679,0.0407,0.571
Shake It Off,2014,5xTtaWoae3wi06K5WfVUUH,Taylor Swift,219200,77,0.647,0.165,0.943
Am I Wrong,2014,1fidCEsYlaVE3pHwKCvpFZ,Nico & Vinz,245866,77,0.729,0.0312,0.779
Turn Down for What,2014,67awxiNHNyjMXhVgsHuIrs,DJ Snake,213733,71,0.818,0.156,0.0815
The Monster,2014,48RrDBpOSSl1aLVCalGl5C,Eminem,250188,79,0.781,0.0715,0.624
Say Something,2014,6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World,229400,74,0.407,0.0355,0.0765
Team,2014,3G6hD9B2ZHOsgf4WfNu7X1,Lorde,193058,80,0.69,0.0929,0.416
Let Her Go,2014,1KxwZYyzWNyZSRyErj2ojT,Passenger,252733,76,0.479,0.0688,0.243
Royals,2014,2dLLR6qlu5UJ5gk0dKz0h3,Lorde,190185,81,0.674,0.122,0.337
Let It Go,2014,13HVjjWUZFaWilh2QUJKsP,James Bay,260532,70,0.546,0.0288,0.246
