Song,Year,ID,Artists,Duration,Popularity,Danceability,Speechiness,Valence
If the World Was Ending,2020,2kJwzbxV2ppxnQoYw4GLBZ,JP Saxe,208687,78,0.464,0.129,0.604
We Paid,2020,6gxKUmycQX7uyMwJcweFjp,Lil Baby,181929,75,0.926,0.293,0.564
Yummy,2020,16wAOAZ2OkqoIDN7TpChjR,Justin Bieber,208520,69,0.676,0.0958,0.497
One Man Band,2020,7cA3PnUQDlUyBBwpRozQeo,Old Dominion,186240,77,0.706,0.0347,0.478
Got What I Got,2020,4TCc369aRPRubv1m8R1TBG,Jason Aldean,178146,68,0.512,0.029,0.303
Sunday Best,2020,1Cv1YLb4q0RzL6pybtaMLo,Surfaces,158571,76,0.878,0.0578,0.694
Godzilla,2020,7FIWs0pqAYbP91WWM0vlTQ,Eminem,210800,83,0.808,0.342,0.829
Bandit,2020,1oWM79mUVdZGCGYjSirHZR,Juice WRLD,189322,72,0.474,0.343,0.424
Party Girl,2020,5RqR4ZCCKJDcBLIn4sih9l,StaySolidRocky,147800,72,0.728,0.0622,0.629
Die from a Broken Heart,2020,3DA4SE262k6rdEtlHteNyq,Maddie & Tae,188320,69,0.596,0.0358,0.443
Popstar,2020,6EDO9iiTtwNv6waLwa1UUq,DJ Khaled,200221,73,0.8,0.261,0.45
All I Want for Christmas Is You,2020,0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,241106,75,0.336,0.0384,0.35
One of Them Girls,2020,6uyiyatWPCqC59Mm4rO8xL,Lee Brice,188893,76,0.643,0.0461,0.808
Hard to Forget,2020,10xuH52YSXHWFwCaF1fsDd,Sam Hunt,204760,64,0.689,0.045,0.664
One Margarita,2020,1Y3TlYJNhIa7k4YAvFkJAB,Luke Bryan,193426,67,0.641,0.0464,0.738
Panini,2020,1000nHvUdawXuUHgBod4Wv,Lil Nas X,114893,71,0.703,0.0752,0.475
Hot,2020,40riOy7x9W7GXjyGp4pjAv,Eagles,391376,84,0.579,0.027,0.609
I Hope You're Happy Now,2020,2HWfXtWFeZpejgYSB3WZnV,Lee Brice,199813,38,0.592,0.035,0.338
Emotionally Scarred,2020,7ge7BHazYbVKi8qyZUX1Bm,Lil Baby,197529,71,0.585,0.133,0.266
Suicidal,2020,1iSqfoUFnQwV0QW1EfUit8,YNW Melly,222997,76,0.735,0.0688,0.235
The Bigger Picture,2020,44gRhRi2OhEf7moAUj6MD1,Lil Baby,252728,65,0.59,0.334,0.153
Only Human,2020,0DiDStADDVh3SvAsoJAFMk,Jonas Brothers,183000,73,0.795,0.0722,0.874
The Woo,2020,1H7KnK26kc1YyellpbINEn,Pop Smoke,201600,73,0.49,0.104,0.286
Sum 2 Prove,2020,5f4Hy5mw5SRaUgXX9c6P5S,Lil Baby,205760,71,0.827,0.274,0.408
Stuck with U,2020,4HBZA5flZLE435QTztThqH,Ariana Grande,228482,81,0.597,0.0418,0.537
